Cup of Russia 2005,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,
Total,Total,,Total,Total
Rank Name NOC Segment,Element,,Program  Component,Deductions
Code Score,Score,,Score (factored),
8 FCCoSp2 2.5 -0.24 -1 -1 -1 0 -1,0 -1 -2,,-1 0 - -,2.26
9 SlSt1 1.8 0.10 0 1 0 0 0,1 0 0,,0 0 - -,1.90
10 3S 5.0x 0.00 0 0 0 0 0,0 0 0,,-1 0 - -,5.00
11 CCoSp1 2.0 -0.68 -3 -2 -2 -2 -2,-2 -1 -3,,-3 -2 - -,1.32
12 CiSt2 2.3 0.00 0 0 1 0 0,0 0 0,,0 0 - -,2.30
13 2A 3.6x -0.28 0 0 0 0 -1,0 0 -1,,-1 0 - -,3.32
14 FCCoSp2 2.5 -0.06 0 0 0 0 0,0 0 -1,,-1 0 - -,2.44
60.4,,,,55.04
Program Components Factor,,,,
Skating Skills 2.00 6.25 5.75 6.00 5.75 5.25 6.00,6.25 6.00,,5.75 5.75 - -,5.85
Transition / Linking Footwork 2.00 5.50 5.50 5.50 5.50 5.00 5.50,5.75 5.50,,5.25 5.25 - -,5.45
Performance / Execution 2.00 5.25 5.75 5.75 5.75 4.50 5.25,5.75 5.50,,5.75 5.00 - -,5.60
Choreography / Composition 2.00 5.50 5.50 5.75 5.75 5.00 5.25,6.00 5.50,,5.75 5.50 - -,5.55
Interpretation 2.00 5.25 5.25 5.75 5.75 4.75 5.25,6.00 5.50,,5.75 5.00 - -,5.50
Judges Total Program Component Score (factored),,,,55.90
Deductions: Falls: -2.00,,,,-2.00
"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,
Cup of Russia 2005,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,
Total,Total,,Total,Total
Rank Name NOC Segment,Element,,Program  Component,Deductions
Code Score,Score,,Score (factored),
"=",+,,+,-
9 Ilia KLIMKIN RUS 105.80,48.30,,60.50,3.00
"# Executed Base GOE The Judges Panel",,,,Scores
Elements Value (in random order),,,,of Panel
1 3A+3T 11.5 -0.20 1 -1 0 0 0,0 0 0,,-1 0 - -,11.30
2 4T 9.0 -3.00 -3 -3 -3 -3 -3,-3 -3 -3,,-3 -3 - -,6.00
3 FCSp3 2.3 0.20 1 1 1 0 0,1 0 0,,0 1 - -,2.50
4 2F 1.7 0.00 0 0 0 0 0,0 0 -1,,0 0 - -,1.70
5 3Lo 5.0 -2.20 -3 -2 -3 -2 -2,-2 -2 -2,,-3 -2 - -,2.80
6 CCSp1 1.3 0.30 0 1 1 0 0,1 0 1,,0 1 - -,1.60
7 3S+1Lo 5.0 -3.00 0 -3 -3 -3 -3,-2 -3 -3,,-3 -2 - -,2.00
8 CoSp3 2.5 0.20 0 1 1 0 0,0 0 1,,0 1 - -,2.70
9 CiSt3 3.1 0.00 0 0 1 0 0,-1 0 0,,0 1 - -,3.10
10 2A 3.6x 0.80 1 1 1 0 1,0 0 1,,1 1 - -,4.40
11 3S 5.0x 0.00 0 1 0 0 0,0 0 0,,-1 0 - -,5.00
12 2Lo 1.7x -1.00 -3 -3 -3 -3 -3,-3 -3 -3,,-3 -3 - -,0.70
13 SlSt1 1.8 0.00 0 0 1 0 0,0 0 0,,0 0 - -,1.80
14 CCoSp2 2.5 0.20 1 1 2 0 0,0 0 1,,0 0 - -,2.70
56.0,,,,48.30
Program Components Factor,,,,
Skating Skills 2.00 6.50 6.00 6.50 5.75 5.75 6.75,6.25 6.50,,6.25 6.50 - -,6.20
Transition / Linking Footwork 2.00 6.00 5.75 6.25 5.75 5.00 6.50,6.00 6.25,,6.00 6.25 - -,6.00
Performance / Execution 2.00 6.25 5.75 6.25 5.75 4.75 6.25,6.00 6.00,,6.50 6.00 - -,6.00
Choreography / Composition 2.00 6.50 5.50 6.25 6.00 5.25 6.50,6.25 6.25,,6.25 6.25 - -,6.05
Interpretation 2.00 6.50 5.00 6.25 6.00 5.25 6.25,6.00 6.50,,6.25 6.25 - -,6.00
Judges Total Program Component Score (factored),,,,60.50
Deductions: Falls: -3.00,,,,-3.00
"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,
Total,Total,,Total,Total
Rank Name NOC Segment,Element,,Program  Component,Deductions
Code Score,Score,,Score (factored),
"=",+,,+,-
10 Sergei DOBRIN RUS 103.34,45.14,,59.20,1.00
"# Executed Base GOE The Judges Panel",,,,Scores
Elements Value (in random order),,,,of Panel
1 3A+2T 8.8 0.00 1 -1 0 0 0,1 0 0,,0 0 - -,8.80
2 2A 3.3 0.60 0 1 1 0 0,1 0 1,,0 1 - -,3.90
3 3Lz+2T 7.3 0.00 0 0 0 0 0,0 0 0,,-1 0 - -,7.30
4 2Lo 1.5 0.00 0 1 0 0 0,0 0 0,,0 0 - -,1.50
5 FCSp3 2.3 0.00 1 1 0 0 0,0 0 0,,0 0 - -,2.30
6 CiSt2 2.3 0.50 1 1 1 1 1,1 1 0,,1 1 - -,2.80
7 CSSp2 1.7 0.10 0 1 1 0 0,0 0 0,,0 0 - -,1.80
8 2S 1.4x -0.12 0 0 0 0 -1,0 0 -1,,-1 0 - -,1.28
9 3F 6.1x -3.00 -3 -3 -3 -3 -3,-3 -3 -3,,-3 -3 - -,3.10
10 CoSp3 2.5 0.00 0 0 0 0 0,0 0 0,,0 0 - -,2.50
11 SlSt1 1.8 0.00 0 0 1 0 0,0 0 0,,0 0 - -,1.80
12 2A 3.6x -0.14 -1 0 0 0 -1,0 -1 0,,-1 0 - -,3.46
13 2Lz 2.1x 0.00 0 0 0 0 0,0 0 0,,0 0 - -,2.10
14 CCoSp2 2.5 0.00 1 1 0 0 0,0 0 0,,0 0 - -,2.50
47.2,,,,45.14
Program Components Factor,,,,
Skating Skills 2.00 6.25 5.75 6.25 5.75 6.25 6.75,6.25 5.75,,6.00 6.00 - -,6.00
Transition / Linking Footwork 2.00 5.50 5.50 5.75 5.75 5.50 6.25,6.00 5.25,,5.50 5.75 - -,5.60
Performance / Execution 2.00 5.75 5.75 6.00 6.00 6.25 6.50,6.00 5.50,,6.25 5.50 - -,6.05
Choreography / Composition 2.00 5.50 5.50 6.00 6.00 6.00 6.50,6.00 5.50,,6.00 5.75 - -,5.90
Interpretation 2.00 5.75 5.50 6.00 6.25 6.25 6.75,6.00 5.75,,6.00 5.50 - -,6.05
Judges Total Program Component Score (factored),,,,59.20
Deductions: Falls: -1.00,,,,-1.00
"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,
Cup of Russia 2005,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,
Total,Total,,Total,Total
