ISU GP NHK Trophy 2008,,,,,,,
MEN SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,,
"",,Total Total,,,Total,Total,
NOC,,Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,,
Code,,Score Score,,,Score (factored),,
Transition / Linking Footwork  1.00 4.00 4.75 5.50 4.25,,5.00 4.50 4.00 4.50,,5.00,4.50 - -,4.60,
Performance / Execution  1.00 5.00 5.00 5.50 4.75,,5.25 5.00 4.00 4.50,,5.25,4.75 - -,4.95,
Choreography / Composition  1.00 5.25 5.25 5.50 4.50,,5.50 4.75 4.25 4.75,,5.50,5.00 - -,5.15,
Interpretation  1.00 5.00 4.50 5.50 4.50,,5.25 5.00 3.75 4.50,,5.50,4.75 - -,4.80,
Judges Total Program Component Score (factored),,,,,,24.65,
Deductions:,,,,,,0.00,
"*  Invalid element !  Jump take off with wrong edge (short) e  Jump take off with wrong edge (long)",,<  Downgraded jump,,,,,
ISU GP NHK Trophy 2008,,,,,,,
MEN SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,,
"",,Total Total,,,Total,Total,
NOC,,Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,,
Code,,Score Score,,,Score (factored),,
"",,= +,,,+,-,
11 Andrei LUTAI RUS,,56.34  31.34,,,26.00,1.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 3A  8.20  0.20 1 0 1 0,,1 1 1 0,,0,-1 - -,8.40,
2 3Lz+2T  7.30 -0.60 -1 -1 0 0,,0 -1 0 In-f1o,,0,-2 - -,6.70,Info
3 3F !  5.50 -3.00 -3 -3 -3 -3,,-3 -3 -3 -3,,-3,-3 - -,2.50,
4 FSSp3  2.60  0.20 1 1 0 0,,0 0 1 1,,0,-1 - -,2.80,
5 CiSt3  3.30  0.00 1 0 0 0,,0 0 0 0,,0,0 - -,3.30,
6 CCoSp4  3.50  0.30 2 1 1 0,,0 0 0 1,,1,0 - -,3.80,
7 SlSt2  2.30  0.00 0 0 1 0,,0 0 0 0,,0,0 - -,2.30,
8 CSSp1  1.90 -0.36 0 -1 -1 -2,,-1 -2 0 -2,,0,-2 - -,1.54,
34.60,,,,,,31.34,
Program Components Factor,,,,,,,
Skating Skills  1.00 5.50 5.50 6.25 5.75,,5.75 5.25 5.25 4.50,,6.00,5.00 - -,5.50,
Transition / Linking Footwork  1.00 5.00 5.00 5.75 4.75,,5.25 5.00 4.50 4.50,,5.50,4.25 - -,4.90,
Performance / Execution  1.00 5.75 5.50 6.25 5.25,,5.25 5.00 4.75 4.75,,5.75,4.75 - -,5.30,
Choreography / Composition  1.00 5.50 5.50 6.00 5.00,,5.50 5.25 5.00 4.75,,5.75,4.50 - -,5.25,
Interpretation  1.00 5.75 5.00 6.00 5.00,,5.25 5.00 4.50 4.50,,5.50,4.00 - -,5.05,
Judges Total Program Component Score (factored),,,,,,26.00,
Deductions: Falls: -1.00,,,,,,-1.00,
"*  Invalid element !  Jump take off with wrong edge (short) e  Jump take off with wrong edge (long)",,<  Downgraded jump,,,,,
"",,Total Total,,,Total,Total,
NOC,,Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,,
Code,,Score Score,,,Score (factored),,
"",,= +,,,+,-,
12 Jamal OTHMAN SUI,,55.94  29.94,,,26.00,0.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 2A  3.50  0.60 1 0 0 1,,0 0 1 1,,1,0 - -,4.10,
2 3Lz+3T< <  7.30 -1.40 -1 -2 -2 -1,,-2 -2 -2 -1,,-1,-2 - -,5.90,
3 CiSt2  2.30  0.10 1 0 0 1,,0 0 1 0,,0,-1 - -,2.40,
4 3F  5.50 -0.80 -1 -1 0 -1,,-1 0 0 0,,0,-1 - -,4.70,
5 CSSp4  3.00  0.20 1 0 0 1,,0 0 1 0,,1,0 - -,3.20,
6 SlSt3  3.30  0.10 1 0 0 0,,0 0 1 1,,0,0 - -,3.40,
7 FSSp4  3.00  0.20 1 1 0 0,,0 0 0 0,,1,-1 - -,3.20,
8 CCoSp3  3.00  0.04 1 0 -1 0,,-1 0 0 0,,1,-1 - -,3.04,
30.90,,,,,,29.94,
Program Components Factor,,,,,,,
Skating Skills  1.00 5.00 5.25 5.50 5.75,,5.50 5.75 5.25 5.25,,5.25,4.50 - -,5.25,
Transition / Linking Footwork  1.00 5.00 4.50 5.25 5.00,,5.00 5.25 5.00 5.00,,5.00,4.00 - -,4.90,
Performance / Execution  1.00 5.75 5.00 5.25 5.25,,5.00 5.75 5.25 5.25,,5.50,4.75 - -,5.20,
Choreography / Composition  1.00 5.25 5.25 5.50 5.50,,5.25 5.50 5.00 5.50,,5.50,4.50 - -,5.35,
Interpretation  1.00 5.50 5.00 5.50 5.50,,5.00 5.50 5.25 5.50,,5.75,4.25 - -,5.30,
Judges Total Program Component Score (factored),,,,,,26.00,
Deductions:,,,,,,0.00,
"*  Invalid element !  Jump take off with wrong edge (short) e  Jump take off with wrong edge (long)",,<  Downgraded jump,,,,,
Printed: 28.11.2008 18:32:21,,,,,,,
