2006 NHK Trophy,,,,,,
LADIES FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
"",,,Total Total,,Total,Total
"",NOC,,Segment Element,,Program  Component,Deductions
Rank Name,,,,,,
"",Code,,Score Score,,Score (factored),
"",,,= +,,+,-
1 Mao ASADA,JPN,,130.02  70.18,,59.84,0.00
"# Executed Base GOE",,,The Judges Panel,,,Scores
10 2A+2T+2Lo<  5.61 x -0.70,-1 0 -1 -2,,-1 0 0 -2,,-1,-1 - -,4.91
11 LSp2  1.80  0.20,1 1 1 0,,1 1 0 0,,0,0 - -,2.00
12 CiSt2  2.30  0.20,1 1 0 1,,0 1 0 0,,0,0 - -,2.50
13 CCoSp3  3.00  0.04,0 -1 0 -1,,0 1 -1 0,,-1,1 - -,3.04
42.95,,,,,,,36.53
Program Components Factor,,,,,,,
Skating Skills  1.60,5.75 6.25 6.00 6.00,,6.00 6.00 5.75 6.00,,6.25,5.50 - -,5.90
Transition / Linking Footwork  1.60,5.25 6.00 5.75 5.50,,5.75 5.75 5.50 5.50,,5.75,5.25 - -,5.50
Performance / Execution  1.60,4.75 5.50 5.75 5.75,,5.50 6.00 5.75 5.00,,5.75,5.25 - -,5.45
Choreography / Composition  1.60,5.50 6.25 5.50 5.75,,6.00 6.00 6.00 5.50,,5.75,5.75 - -,5.80
Interpretation  1.60,5.00 6.00 5.50 5.50,,5.75 5.75 5.75 5.25,,5.75,5.50 - -,5.55
Judges Total Program Component Score (factored),,,,,,,45.12
Deductions: Falls:,-3.00,,,,,,-3.00
"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,,,
2006 NHK Trophy,,,,,,
LADIES FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
"",,,Total Total,,Total,Total
"",NOC,,Segment Element,,Program  Component,Deductions
Rank Name,,,,,,
"",Code,,Score Score,,Score (factored),
"",,,= +,,+,-
9 Chae-Hwa KIM,KOR,,73.95  35.71,,38.24,0.00
"# Executed Base GOE",,,The Judges Panel,,,Scores
Elements Value,,,(in random order),,,of Panel
1 3T  4.00 -1.80,-2 -2 -2 -3,,-1 -2 -2 -1,,-2 -2 - -,2.20
2 3Lo<  1.50 -0.54,-2 -3 -3 -2,,-2 -1 -2 -2,,-3 -1 - -,0.96
3 FCSp3  2.30  0.00,0 0 0 0,,0 0 0 0,,0 0 - -,2.30
4 3S  4.50 -1.80,-1 -2 -2 -3,,-3 -1 -2 -2,,-2 -1 - -,2.70
5 2A+2T+2Lo<  5.10 -0.70,-1 -2 -2 -2,,-1 0 0 -2,,-1 -1 - -,4.40
6 LSp2  1.80  0.00,0 0 0 0,,0 0 0 0,,0 0 - -,1.80
7 SpSq3  3.10  0.10,0 0 0 1,,1 0 0 0,,0 0 - -,3.20
8 3T+2T  5.83 x  0.00,0 0 0 0,,0 0 0 0,,0 0 - -,5.83
9 CCoSp3  3.00  0.00,0 0 0 0,,0 0 0 0,,0 0 - -,3.00
10 SlSt2  2.30  0.00,0 0 0 0,,0 0 0 0,,0 0 - -,2.30
11 2S<  0.44 x -0.18,-2 -3 -3 -3,,-2 0 -2 -2,,-3 -1 - -,0.26
12 2A+2T  5.06 x  0.00,0 -1 0 0,,0 0 0 0,,0 0 - -,5.06
13 FSSp1  1.70  0.00,0 -1 0 0,,0 0 0 0,,0 0 - -,1.70
40.63,,,,,,35.71
Program Components Factor,,,,,,
Skating Skills  1.60,4.75 4.25 4.75 5.00,,5.25 3.75 5.25 5.25,,5.50 5.00 - -,5.05
Transition / Linking Footwork  1.60,4.75 3.75 4.00 4.25,,5.00 3.50 5.00 4.75,,4.50 4.75 - -,4.70
Performance / Execution  1.60,4.25 4.75 4.50 4.50,,5.00 3.75 5.00 4.75,,5.00 5.00 - -,4.70
Choreography / Composition  1.60,4.50 4.00 4.50 4.50,,5.00 3.75 5.00 5.00,,4.75 5.25 - -,4.80
Interpretation  1.60,4.25 4.00 4.25 4.50,,5.00 3.50 4.75 4.75,,5.00 5.25 - -,4.65
Judges Total Program Component Score (factored),,,,,,38.24
Deductions:,,,,,,0.00
"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,,
"",,,Total Total,,Total,Total
"",NOC,,Segment Element,,Program  Component,Deductions
Rank Name,,,,,,
"",Code,,Score Score,,Score (factored),
"",,,= +,,+,-
10 Tugba KARADEMIR,TUR,,69.89  32.93,,38.96,2.00
"# Executed Base GOE",,,The Judges Panel,,,Scores
Elements Value,,,(in random order),,,of Panel
1 3F<+2T  3.00 -0.42,-2 -2 -2 -2,,-1 -1 -1 -2,,-1 -1 - -,2.58
2 CCoSp4  3.50  0.00,1 0 1 0,,0 0 0 0,,1 0 - -,3.50
3 3T  4.00 -3.00,-3 -3 -3 -3,,-3 -3 -3 -3,,-3 -3 - -,1.00
4 FCCoSp3  3.00  0.00,0 -1 0 -1,,0 0 1 0,,0 0 - -,3.00
5 3S  4.50 -3.00,-3 -3 -3 -3,,-3 -3 -3 -3,,-3 -3 - -,1.50
6 3T<+SEQ  1.14 x -0.36,-2 -2 -2 -3,,-1 0 0 -2,,-1 -1 - -,0.78
7 2A  3.63 x -0.14,0 -1 0 -1,,0 0 0 0,,0 -1 - -,3.49
8 CUSp4  3.00 -0.12,-1 -1 0 -1,,-1 0 0 0,,-1 0 - -,2.88
9 SpSq4  3.40  0.60,1 0 1 1,,-1 1 0 0,,1 1 - -,4.00
10 2A+2T  5.06 x -0.28,0 -1 0 -1,,0 0 0 -1,,0 -1 - -,4.78
11 3S<*  0.00  0.00,- - - -,,- - - -,,- - - -,0.00
12 CiSt3  3.10  0.00,1 0 1 0,,0 0 0 0,,0 0 - -,3.10
13 CCoSp2  2.50 -0.18,-1 -2 -2 -1,,0 0 -1 -1,,-1 0 - -,2.32
39.83,,,,,,32.93
Program Components Factor,,,,,,
Skating Skills  1.60,5.50 4.75 4.75 5.00,,4.75 4.75 5.00 4.75,,5.25 5.25 - -,4.95
Transition / Linking Footwork  1.60,5.00 4.00 4.25 4.25,,4.75 4.50 4.75 4.75,,4.50 5.00 - -,4.75
Performance / Execution  1.60,4.50 4.25 4.50 4.50,,5.00 4.75 5.25 4.50,,5.00 5.00 - -,4.75
Choreography / Composition  1.60,5.50 4.50 4.75 4.75,,5.25 4.50 5.00 4.75,,4.75 5.25 - -,5.00
Interpretation  1.60,5.00 4.00 4.50 4.50,,5.25 4.50 5.00 4.75,,5.00 5.25 - -,4.90
Judges Total Program Component Score (factored),,,,,,38.96
Deductions: Falls:,-2.00,,,,,-2.00
"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,,
2006 NHK Trophy,,,,,,,
LADIES FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,,Total Total,,,Total,Total
"",NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,
"",Code,,Score Score,,,Score (factored),
"",,,=,+,,+,-
11 Jenna McCORKELL,GBR,,61.25  24.41,,,37.84,1.00
"# Executed Base",GOE,,The Judges Panel,,,,Scores
Elements Value,,,(in random order),,,,of Panel
1 2A  3.30,1.00 1 1 1 1,,1 1 1,1,1,0 - -,4.30
2 3Lz<  1.90,-0.76 -3 -3 -3 -3,,-2 -2 -2,-3,-3,-2 - -,1.14
3 1F  0.50,-0.04 -1 -2 0 0,,-1 0 -1,0,0,0 - -,0.46
4 1Lo  0.50,0.00 0 -2 0 0,,-1 0 0,0,-1,0 - -,0.50
5 CCoSp4  3.50,-0.06 0 0 0 0,,-1 0 1,0,0,-1 - -,3.44
6 1A  0.80,0.00 0 0 0 0,,0 0 0,0,0,-1 - -,0.80
7 SpSq3  3.10,0.00 0 0 0 0,,0 0 0,0,0,0 - -,3.10
8 CUSp2  2.00,0.00 0 0 0 0,,0 0 1,0,0,0 - -,2.00
9 3T  4.40 x,-2.00 -2 -2 -2 -2,,-2 -2 -2,-2,-2,-1 - -,2.40
10 SlSt1  1.80,-0.60 -3 -3 -3 -3,,-3 0 -3,0,-3,0 - -,1.20
11 2F  1.87 x,0.00 0 0 0 0,,0 0 0,0,0,0 - -,1.87
12 FCSp1  1.70,0.00 0 -1 0 0,,0 0 0,0,-1,0 - -,1.70
13 LSp1  1.50,0.00 0 -1 0 0,,0 1 0,0,0,0 - -,1.50
26.87,,,,,,,24.41
Program Components Factor,,,,,,,
Skating Skills,1.60 5.50 4.50 4.50 4.50,,4.50 4.75 5.25,5.25,4.25,4.75 - -,4.90
