ISU GP Trophee E. Bompard 2011,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
"",Starting,Total Total,,Total,Total,
Rank Name Nation,Number,Segment Element,,Program  Component,Deductions,
"<  Under-rotated jumpx  Credit for highlight distribution, base value multiplied by 1.1e  Jump take off with wrong edge",,,,,,
ISU GP Trophee E. Bompard 2011,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
"",Starting,Total Total,,Total,Total,
Rank Name Nation,Number,Segment Element,,Program  Component,Deductions,
"",,Score Score,,Score (factored),,
9 Nobunari ODA JPN,4,104.25  46.63,,60.62,-3.00,
"# Executed Base GOE",,The Judges Panel,,,Ref Scores,
Elements Value,,(in random order),,,of Panel,
1 3A+2T+1Lo  10.30  1.14 2 2,1,1 2 1,1,0 0,11.44,
2 3F+3T  9.40  1.50 2 2,2,1 2 2,3,3 2,10.90,
3 2F  1.80 -0.60 -2 -2,-2,-2 -1 -2,-3,-2 -2,1.20,
4 1Lo  0.50  0.03 0 0,0,1 -1 1,0,0 0,0.53,
"",,,,,,Info
5 SlSt  0.00  0.00 - -,-,- - -,-,- -,0.00,
6 FCCoSp2  2.50  0.50 2 1,1,2 0 1,1,0 1,3.00,
7 2A<< <<  1.21 x -0.60 -3 -3,-3,-3 -3 -3,-3,-3 -3,0.61,
8 3Lz  6.60 x -2.10 -3 -3,-3,-3 -3 -3,-3,-3 -3,4.50,
9 3S  4.62 x  0.80 1 1,1,2 1 1,1,2 0,5.42,
10 A  0.00 x  0.00 - -,-,- - -,-,- -,0.00,
11 CCoSp3  3.00  0.50 2 1,1,2 0 1,0,2 0,3.50,
12 CSSp4  3.00  0.43 1 1,1,2 1 1,0,1 0,3.43,
13 ChSt1  2.00  0.10 0 0,0,-1 0 1,1,0 0,2.10,
44.93,,,,,46.63,
Program Components Factor,,,,,,
Skating Skills  2.00 7.00 7.00,7.50,6.00 7.75 6.75,7.25,5.75 6.50,6.86,
Transition / Linking Footwork  2.00 6.25 6.75,4.75,4.75 5.50 6.25,6.00,6.25 5.00,5.71,
Performance / Execution  2.00 5.75 6.00,5.50,5.25 4.25 6.25,5.25,5.00 5.50,5.46,
Choreography / Composition  2.00 7.50 7.25,6.50,5.50 6.50 7.00,6.50,6.75 5.00,6.57,
Interpretation  2.00 6.00 6.00,5.75,5.25 5.75 6.00,5.50,5.50 5.50,5.71,
Judges Total Program Component Score (factored),,,,,60.62,
Deductions: Falls: -3.00,,,,,-3.00,
"<<  Downgraded jumpx  Credit for highlight distribution, base value multiplied by 1.1",,,,,,
Printed: 19.11.2011 15:02:25,,,,,,
