Cup of Russia,,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,,Total Total,,,Total,Total
NOC,,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,
Code,,,Score Score,,,Score (factored),
6 FSSp3  2.30  0.20 0 1 1,,1,0 0 0 0,,1 0 - -,2.50
7 CCoSp4  3.50  0.10 0 0 1,,1,0 1 0 0,,0 0 - -,3.60
8 3F  6.05 x -0.20 0 -1 0,,-1,0 -1 0 0,,0 0 - -,5.85
9 CiSt3  3.10  0.20 0 1 0,,1,0 0 1 0,,1 0 - -,3.30
10 CSSp3  2.30  0.00 0 0 0,,0,1 0 0 0,,0 1 - -,2.30
11 3S  4.95 x  0.00 0 0 0,,0,0 -1 0 -1,,0 0 - -,4.95
12 1A  0.88 x  0.00 0 -1 0,,0,0 0 0 0,,0 0 - -,0.88
13 SlSt2  2.30  0.40 0 2 1,,0,1 1 1 1,,1 0 - -,2.70
14 CoSp3  2.50  0.00 0 0 0,,0,0 0 0 0,,0 -1 - -,2.50
61.98,,,,,,61.08
Program Components Factor,,,,,,
Skating Skills  2.00 6.50 6.25 5.75,,5.00,6.50 6.00 6.25 5.75,,6.00 5.75 - -,6.05
Transition / Linking Footwork  2.00 6.25 6.00 5.50,,5.50,6.25 5.25 5.50 5.25,,5.75 5.50 - -,5.65
Performance / Execution  2.00 6.75 6.50 5.75,,6.75,6.50 6.25 6.75 5.50,,6.50 6.00 - -,6.40
Choreography / Composition  2.00 6.50 6.75 5.75,,6.25,6.50 5.75 6.25 5.50,,6.00 6.25 - -,6.15
Interpretation  2.00 6.75 7.00 6.00,,6.50,6.75 6.25 6.50 5.75,,6.25 6.25 - -,6.40
Judges Total Program Component Score (factored),,,,,,61.30
Deductions:,,,,,,0.00
"e  Jump take off with wrong edge x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,,
Cup of Russia,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
"",,,Total Total,,Total,Total
NOC,,,Segment Element,,Program  Component,Deductions
Rank Name,,,,,,
Code,,,Score Score,,Score (factored),
"",,,= +,,+,-
9 Yannick PONSERO FRA,,,121.83  57.93,,63.90,0.00
"# Executed Base GOE",,,The Judges Panel,,,Scores
Elements Value,,,(in random order),,,of Panel
1 3A  7.50 -1.00 -1 -1 -1,,-1,-1 -2 -1 -2,,-1 -1 - -,6.50
2 3T  4.00  0.80 1 1 0,,0,1 0 1 0,,1 1 - -,4.80
3 3Lz  6.00 -1.00 -1 0 -1,,-1,-1 -1 -1 -1,,-1 -1 - -,5.00
4 CCSp4  3.00  0.50 1 1 1,,2,0 1 2 1,,1 1 - -,3.50
5 CiSt1  1.80  0.10 0 0 1,,1,0 0 0 0,,1 0 - -,1.90
6 2A+2T+2Lo  6.93 x  0.40 1 1 0,,1,1 0 1 0,,0 0 - -,7.33
7 CCoSp4  3.50  0.30 0 2 0,,1,0 1 1 1,,0 1 - -,3.80
8 3S+3T  9.35 x  1.00 1 1 1,,1,1 1 1 0,,1 0 - -,10.35
9 2A  3.85 x  1.00 1 1 1,,1,1 0 1 0,,1 1 - -,4.85
10 FSSp3  2.30  0.50 1 2 1,,1,0 1 1 0,,1 0 - -,2.80
11 2A+SEQ  3.08 x -1.28 -1 -2 -2,,-1,-2 -2 -2 -2,,-1 -1 - -,1.80
12 SlSt2  2.30  0.10 0 1 0,,0,1 0 1 0,,0 0 - -,2.40
13 3T* *  0.00  0.00 - - -,,-,- - - -,,- - - -,0.00
14 SSp4  2.40  0.50 1 1 1,,1,1 0 1 0,,1 1 - -,2.90
56.01,,,,,,57.93
Program Components Factor,,,,,,
Skating Skills  2.00 7.00 6.50 6.75,,6.50,6.50 6.75 6.50 6.50,,7.00 6.75 - -,6.75
Transition / Linking Footwork  2.00 6.50 5.25 6.50,,6.25,6.00 5.00 6.00 6.25,,6.25 6.75 - -,6.10
Performance / Execution  2.00 6.25 5.50 6.50,,6.50,6.25 6.25 6.25 6.25,,6.50 7.00 - -,6.35
Choreography / Composition  2.00 6.50 5.50 6.75,,6.75,6.50 6.00 6.00 6.50,,6.75 7.00 - -,6.40
Interpretation  2.00 6.50 5.50 6.50,,6.50,6.25 6.00 6.25 6.25,,6.50 7.00 - -,6.35
Judges Total Program Component Score (factored),,,,,,63.90
Deductions:,,,,,,0.00
"e  Jump take off with wrong edge x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,,
"",,,Total Total,,Total,Total
NOC,,,Segment Element,,Program  Component,Deductions
Rank Name,,,,,,
Code,,,Score Score,,Score (factored),
"",,,= +,,+,-
10 Andrei LUTAI RUS,,,119.80  56.50,,63.30,0.00
"# Executed Base GOE",,,The Judges Panel,,,Scores
Elements Value,,,(in random order),,,of Panel
1 3A  7.50  0.00 0 0 -1,,0,1 0 0 -1,,0 1 - -,7.50
2 2T  1.30 -0.12 0 0 0,,0,0 -2 0 -1,,-2 0 - -,1.18
3 3A+SEQ  6.00 -2.00 -1 -2 -2,,-2,-2 -2 -2 -3,,-2 -2 - -,4.00
4 CUSp3  2.30  0.00 0 1 0,,0,0 0 0 0,,0 0 - -,2.30
