NHK Trophy 2007,,,,,,,,
PAIRS FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,,
"",,,Total Total,,Total,,Total,
"",NOC,,Segment Element,,Program  Component,,Deductions,
Rank Name,,,,,,,,
"",Code,,Score Score,,Score (factored),,,
"",,,= +,,+,,-,
1 Aliona SAVCHENKO / Robin SZOLKOWY,GER,,120.32  58.64,,61.68,,0.00,
"# Executed Base GOE",,,The Judges Panel,,,,Scores,
Elements Value,,,(in random order),,,,of Panel,
2 3S  4.50 -2.00,-2 -2 -3,-2,-2 -2 -2 -I2nfo,-2 -2 - -,,2.50,Info
3 3LzTw2  5.50  0.84,1 1 2,1,1 2 1 1,-2 0 - -,,6.34,
4 5TLi2  5.00  0.10,0 0 1,0,1 1 0 0,1 0 - -,,5.10,
5 3Li4  4.00  0.40,1 -1 2,0,1 1 0 1,1 1 - -,,4.40,
6 PCoSp1  3.00  0.00,0 0 0,1,0 0 -1 1,0 0 - -,,3.00,
7 3LoTh  5.50 x -1.64,-3 -3 -3,-3,-2 -2 -2 -2,-3 -2 - -,,3.86,
8 SpSq4  3.40  0.00,0 1 0,0,0 0 -1 0,0 0 - -,,3.40,
9 3STh  4.95 x -0.98,-1 -2 -2,-2,-2 0 -1 -2,-2 -1 - -,,3.97,
10 5ALi  0.00  0.00,- - -,-,- - - -,- - - -,,0.00,
11 SlSt1  1.80  0.00,0 0 0,0,0 0 0 0,1 0 - -,,1.80,
12 BoDs1  3.00 -0.56,0 -2 -2,-1,0 0 0 -1,0 -1 - -,,2.44,
13 FCCoSp1  2.00 -0.60,-2 -2 -2,-1,-1 -1 -2 -2,-2 -2 - -,,1.40,
47.95,,,,,,41.71,
Program Components Factor,,,,,,,
Skating Skills  1.60,6.50 6.25 5.75,6.25,6.25 6.75 6.75 6.50,6.50 6.25 - -,,6.45,
Transition / Linking Footwork  1.60,6.25 5.75 5.50,5.75,6.00 6.50 6.25 5.75,6.00 5.75 - -,,5.95,
Performance / Execution  1.60,6.25 6.00 5.00,6.25,5.75 6.50 6.00 5.50,6.00 6.00 - -,,5.95,
Choreography / Composition  1.60,6.50 6.25 5.75,6.25,6.00 6.50 6.50 6.00,6.50 6.00 - -,,6.25,
Interpretation  1.60,6.00 6.00 5.00,6.00,6.25 6.50 6.25 5.75,6.75 6.00 - -,,6.00,
Judges Total Program Component Score (factored),,,,,,48.96,
Deductions:,,,,,,0.00,
"*  Invalid element e  Jump take off with wrong edge",<  Downgraded jump,,"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,
"",,,Total Total,Total,,Total,
"",NOC,,Segment Element,Program  Component,,Deductions,
Rank Name,,,,,,,
"",Code,,Score Score,Score (factored),,,
"",,,= +,+,,-,
6 Jiaqi LI / Jiankun XU,CHN,,73.01  40.13,34.88,,2.00,
"# Executed Base GOE",,,The Judges Panel,,,Scores,
Elements Value,,,(in random order),,,of Panel,
1 3LoTh  5.00 -0.84,-1 -1 -1,-1,-2 -3 -1 -2,-1 -1 - -,,4.16,
2 3LzTw1  5.00 -0.84,-2 -1 -1,-2,-1 0 -1 -2,0 -1 - -,,4.16,
3 3T+1T  4.40 -1.20,0 0 -2,-2,0 -1 -1 -2,-2 -2 - -,,3.20,
4 5ALi4  6.50  0.00,0 0 0,0,0 0 0 -1,0 0 - -,,6.50,
5 SpSq4  3.40  0.00,0 0 1,1,1 0 0 0,0 0 - -,,3.40,
6 3TTh  4.95 x -2.00,-3 -3 -2,-3,-3 -3 -3 -3,-3 -3 - -,,2.95,
7 5TLi  0.00  0.00,- - -,-,- - - -,- - - -,,0.00,
8 1A  0.88 x -0.08,0 0 0,-1,0 0 -1 -1,-1 -1 - -,,0.80,
9 FiDs3  3.20  0.14,0 1 1,0,0 0 0 0,0 0 - -,,3.34,
10 SlSt1  1.80  0.00,0 0 0,-1,0 0 0 -1,0 0 - -,,1.80,
11 3Li2  3.00 -0.12,0 -1 -1,0,0 0 0 -2,0 0 - -,,2.88,
12 FCCoSp2  2.50 -0.06,0 -1 0,0,1 0 1 -1,0 0 - -,,2.44,
13 PCoSp4  4.50  0.00,0 0 0,0,0 0 0 -1,0 0 - -,,4.50,
45.13,,,,,,40.13,
Program Components Factor,,,,,,,
Skating Skills  1.60,4.50 5.75 4.50,4.50,5.25 4.25 5.25 4.50,5.50 4.75 - -,,4.70,
Transition / Linking Footwork  1.60,4.00 4.75 4.00,4.00,5.00 4.00 4.75 4.00,4.75 4.00 - -,,4.15,
Performance / Execution  1.60,4.00 5.50 3.75,4.00,4.75 4.00 5.00 3.75,4.50 4.25 - -,,4.20,
Choreography / Composition  1.60,4.50 5.25 4.00,4.25,5.00 4.00 5.25 4.25,5.00 4.25 - -,,4.45,
Interpretation  1.60,4.00 5.50 4.00,4.00,4.75 4.00 5.00 4.25,4.75 4.25 - -,,4.30,
Judges Total Program Component Score (factored),,,,,,34.88,
Deductions: Falls:,-2.00,,,,,-2.00,
"*  Invalid element e  Jump take off with wrong edge",<  Downgraded jump,,"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,
NHK Trophy 2007,,,,,,,
PAIRS FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,,Total Total,,Total,Total,
"",NOC,,Segment Element,Program  Component,,Deductions,
Rank Name,,,,,,,
"",Code,,Score Score,Score (factored),,,
"",,,= +,,+,-,
7 Dominika PIATKOWSKA / Dmitri KHROMIN,POL,,66.71  34.47,32.24,,0.00,
"# Executed Base GOE",,,The Judges Panel,,,Scores,
Elements Value,,,(in random order),,,of Panel,
1 3T<  1.30 -0.92,-3 -3 -3,-3,-2 -3 -2 -2,-3 -3 -,-,0.38,
2 1A+SEQ  0.64  0.00,0 0 0,0,0 0 0 0,0 -1 -,-,0.64,Info
3 2LzTw1  3.00  0.00,0 0 0,0,0 0 0 0,0 0 -,-,3.00,
4 5TLi3  5.50 -0.06,0 0 0,0,1 0 -1 -1,0 0 -,-,5.44,
5 3LoTh  5.00 -1.40,-2 -2 -2,-2,-2 -2 -2 -2,-2 -2 -,-,3.60,
6 3Li2  3.00 -0.30,-1 -1 -1,-1,-1 0 -1 -2,0 -1 -,-,2.70,
7 FiDs1  2.80 -0.56,-1 -1 -2,0,-2 -1 0 -1,0 0 -,-,2.24,
8 SpSq2  2.30  0.00,0 0 0,0,0 0 0 -1,-1 0 -,-,2.30,
9 5ALi3  6.00 -0.06,0 0 -1,0,0 0 0 -1,0 0 -,-,5.94,
10 3STh  4.95 x -0.42,-1 0 0,0,0 0 -1 -1,0 -1 -,-,4.53,
11 FCCoSp2  2.50 -0.30,-1 0 -1,-1,0 -1 -1 -2,-2 -1 -,-,2.20,
12 SlSt1  1.80 -0.30,0 0 -2,0,-1 0 -1 -2,0 -2 -,-,1.50,
13 PCoSp  0.00  0.00,- - -,-,- - - -,- - -,-,0.00,
38.79,,,,,,34.47,
Program Components Factor,,,,,,,
Skating Skills  1.60,4.00 4.50 4.00,4.75,4.50 4.50 4.75 3.75,5.00 4.25 -,-,4.25,
Transition / Linking Footwork  1.60,4.00 3.50 3.75,4.25,4.00 4.00 4.00 3.25,4.50 3.75 -,-,3.80,
Performance / Execution  1.60,4.25 4.00 3.75,4.50,4.00 4.25 4.25 3.50,4.25 4.00 -,-,4.05,
Choreography / Composition  1.60,4.50 4.00 4.00,4.50,4.25 4.25 4.50 3.50,4.75 4.00 -,-,4.15,
Interpretation  1.60,3.50 4.00 3.75,4.50,4.00 4.25 4.25 3.25,4.50 4.00 -,-,3.90,
Judges Total Program Component Score (factored),,,,,,32.24,
Deductions:,,,,,,0.00,
"*  Invalid element e  Jump take off with wrong edge",<  Downgraded jump,,"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,
Printed: 30/11/2007 18:21:45,,,,,,,
