ISU GP Internationaux de France de Patinage 2017,,,,,
MEN SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,
Starting Total,,Total,Total,Total,
Rank Name Nation Number Segment,,Element,Program  Component,Deductions,
6 StSq3  3.30  0.50 1 1 1 1 1,,1 1,2 1,3.80,
7 CCoSp4  3.50  0.10 0 1 0 0 1,,0 -1,2 -1,3.60,
47.05,,,,41.54,
Program Components Factor,,,,,
Skating Skills  1.00 8.00 8.75 7.75 7.75 8.25,,8.00 8.00,7.75 7.50,7.93,
Transitions  1.00 7.25 8.00 7.00 7.00 7.50,,7.50 7.50,7.25 7.25,7.32,
Performance  1.00 7.25 8.25 7.25 7.25 7.75,,7.75 7.75,7.25 7.50,7.50,
Composition  1.00 7.75 8.25 7.50 7.50 7.75,,7.75 8.00,7.50 7.75,7.71,
Interpretation of the Music  1.00 7.75 8.50 7.50 7.25 7.75,,7.75 7.75,7.50 7.50,7.64,
Judges Total Program Component Score (factored),,,,38.10,
Deductions Falls: -1.00(1),,,,-1.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,,
ISU GP Internationaux de France de Patinage 2017,,,,,
MEN SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,
Starting Total,,Total,Total,Total,
Rank Name Nation Number Segment,,Element,Program  Component,Deductions,
Score,,Score,Score (factored),,
9 Kevin AYMOZ FRA  2  70.00,,34.18,35.82,0.00,
Executed Base,,,,Scores of,
"# GOE J1 J2 J3 J4 J5",,J6 J7,InfoJ8 J9 Ref,,Info
Elements Value,,,,Panel,
1 3A  8.50 -1.29 0 -1 -1 -2 -2,,-1 -1,-1 -2,7.21,
2 3Lz+3T  10.30  0.20 1 0 0 0 1,,0 0,1 0,10.50,
3 CCSp3  2.80 -0.17 -1 0 -1 0 0,,-1 0,-1 -1,2.63,
4 3Lo<< <<  1.80 -0.90 -3 -3 -3 -3 -3,,-3 -3,-3 -3,0.90,
5 FSSp4  3.00  0.64 2 1 1 2 2,,1 1,1 1,3.64,
6 CCoSp4  3.50  0.50 2 1 1 1 1,,1 1,1 1,4.00,
7 StSq4  3.90  1.40 3 2 3 2 2,,2 1,1 2,5.30,
33.80,,,,34.18,
Program Components Factor,,,,,
Skating Skills  1.00 7.25 7.50 7.00 7.25 6.50,,7.75 7.50,7.50 6.75,7.25,
Transitions  1.00 7.25 7.00 6.50 6.75 6.50,,7.75 7.00,7.25 6.75,6.93,
Performance  1.00 7.00 7.50 6.50 7.00 7.25,,8.00 7.25,7.00 7.00,7.14,
Composition  1.00 7.25 7.00 7.00 7.25 7.00,,8.00 7.50,7.25 7.00,7.18,
Interpretation of the Music  1.00 7.75 7.50 7.00 7.25 7.00,,7.75 7.25,7.50 6.75,7.32,
Judges Total Program Component Score (factored),,,,35.82,
Deductions,,,,0.00,
"<<  Downgraded jump",,,,,
Starting Total,,Total,Total,Total,
Rank Name Nation Number Segment,,Element,Program  Component,Deductions,
Score,,Score,Score (factored),,
10 Vincent ZHOU USA  5  66.12,,32.12,36.00,2.00,
Executed Base,,,,Scores of,
"# GOE J1 J2 J3 J4 J5",,J6 J7,J8 J9 Ref,,
Elements Value,,,,Panel,
1 4Lz<+COMBO <  9.50 -4.00 -3 -3 -3 -3 -3,,-3 -3,-3 -3,5.50,
2 4F< <  8.60 -4.00 -3 -3 -3 -3 -3,,-3 -3,-3 -3,4.60,
3 FCSp4  3.20  0.07 1 1 0 0 0,,0 0,0 0,3.27,
4 3A  9.35 x -1.00 -2 -1 -1 -1 -1,,-1 -1,-1 -1,8.35,
5 StSq3  3.30  0.43 0 1 1 1 1,,1 1,0 1,3.73,
6 CSSp4  3.00  0.21 0 1 1 0 1,,0 0,0 1,3.21,
7 CCoSp4  3.50 -0.04 -1 0 1 -1 0,,0 0,0 0,3.46,
40.45,,,,32.12,
Program Components Factor,,,,,
Skating Skills  1.00 6.75 7.75 7.25 7.25 7.75,,7.75 7.50,7.25 7.50,7.46,
Transitions  1.00 6.75 7.50 7.00 6.75 7.25,,7.50 6.75,6.75 7.25,7.04,
Performance  1.00 6.00 7.25 6.50 6.75 7.00,,7.50 7.25,6.75 7.50,7.00,
Composition  1.00 6.75 7.50 7.25 7.25 7.50,,7.75 7.00,7.00 7.50,7.29,
Interpretation of the Music  1.00 6.50 7.50 7.25 7.00 7.25,,7.50 7.00,7.00 7.50,7.21,
Judges Total Program Component Score (factored),,,,36.00,
Deductions Falls: -2.00(2),,,,-2.00,
"<  Under-rotated jumpx  Credit for highlight distribution, base value multiplied by 1.1",,,,,
ISU GP Internationaux de France de Patinage 2017,,,,,
MEN SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,
Starting Total,,Total,Total,Total,
Rank Name Nation Number Segment,,Element,Program  Component,Deductions,
Score,,Score,Score (factored),,
11 Romain PONSART FRA  1  63.81,,31.56,34.25,2.00,
Executed Base,,,,Scores of,
"# GOE J1 J2 J3 J4 J5",,J6 J7,J8 J9 Ref,,Info
Elements Value,,,,Panel,
1 4T+COMBO  10.30 -4.00 -3 -3 -3 -3 -3,,-3 -3,-3 -3,6.30,
2 3A  8.50 -2.00 -2 -2 -2 -2 -2,,-3 -2,-2 -2,6.50,
3 FCSp4  3.20  0.57 2 1 1 1 1,,1 2,1 1,3.77,
4 3Lz  6.60 x -2.10 -3 -3 -3 -3 -3,,-3 -3,-3 -3,4.50,
5 CSSp3  2.60  0.36 1 1 0 -1 1,,2 1,0 1,2.96,
6 StSq2  2.60  0.64 2 1 2 0 1,,2 1,1 1,3.24,
