ISU GP NHK Trophy 2016,,,,,
LADIES SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,
"",Starting Total,Total,Total,Total,
Rank Name,Nation Number Segment,Element,Program  Component,Deductions,
5 2A  3.63 x  0.29 0 1,1 0 1,1 0,1 0,3.92,
6 StSq4  3.90  0.80 1 2,1 2 1,1 1,1 1,4.70,
7 CCoSp4  3.50  0.64 1 1,2 1 2,1 2,1 1,4.14,
29.07,,,,29.44,
Program Components Factor,,,,,
Skating Skills  0.80  7.25  7.00,8.00  7.50  7.25,7.50  7.00,7.50  6.50,7.29,
Transitions  0.80  6.75  7.25,7.75  7.25  7.50,7.25  7.00,7.25  6.00,7.18,
Performance  0.80  6.75  7.00,7.75  7.00  7.25,7.50  7.50,7.50  6.50,7.21,
Composition  0.80  7.00  7.50,8.00  7.50  7.50,7.75  7.25,7.50  6.75,7.43,
Interpretation of the Music  0.80  7.00  7.75,7.50  7.25  7.75,7.50  7.75,7.75  7.00,7.50,
Judges Total Program Component Score (factored),,,,29.28,
Deductions,,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,,
ISU GP NHK Trophy 2016,,,,,
LADIES SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,
"",Starting Total,Total,Total,Total,
Rank Name,Nation Number Segment,Element,Program  Component,Deductions,
"",Score,Score,Score (factored),,
9 Elizabet TURSYNBAEVA,KAZ  11  55.66,26.92,28.74,0.00,
Executed Base,,,,Scores of,
"# GOE",J1 J2 J3 J4 J5,J6 J7,InfoJ8 J9 Ref,,Info
Elements Value,,,,Panel,
1 1Lz* *  0.00  0.00,- - - - -,- -,- -,0.00,
2 CCoSp3  3.00  0.50,1 1 1 1 1,1 0,1 2,3.50,
3 3S+3T  9.57 x -0.10,0 0 -1 0 0,0 -1,0 0,9.47,
4 StSq2  2.60  0.50,1 1 1 1 1,1 0,2 1,3.10,
5 2A  3.63 x  0.29,1 1 1 1 0,1 0,0 0,3.92,
6 FCSp4  3.20  0.17,0 0 -1 1 0,1 -1,1 1,3.37,
7 LSp4  2.70  0.86,1 1 2 1 2,2 2,2 2,3.56,
24.70,,,,26.92,
Program Components Factor,,,,,
Skating Skills  0.80,7.50  6.25  7.50  7.25  7.50,7.50  6.25,7.25  6.75,7.14,
Transitions  0.80,7.00  7.00  7.75  7.00  6.75,7.50  6.25,7.00  6.75,7.00,
Performance  0.80,7.25  7.25  6.75  7.00  7.00,7.25  7.00,7.25  7.50,7.14,
Composition  0.80,7.50  7.00  7.75  7.25  7.25,7.50  6.75,7.75  7.25,7.36,
Interpretation of the Music  0.80,7.25  7.50  6.50  7.00  7.25,7.25  7.00,7.75  8.00,7.29,
Judges Total Program Component Score (factored),,,,28.74,
Deductions,,,,0.00,
"*  Invalid elementx  Credit for highlight distribution, base value multiplied by 1.1",,,,,
"",Starting Total,Total,Total,Total,
Rank Name,Nation Number Segment,Element,Program  Component,Deductions,
"",Score,Score,Score (factored),,
10 Nicole RAJICOVA,SVK  4  53.43,26.11,27.32,0.00,
Executed Base,,,,Scores of,
"# GOE",J1 J2 J3 J4 J5,J6 J7,J8 J9 Ref,,
Elements Value,,,,Panel,
1 2T+3T< <  4.30 -0.80,-1 -1 -1 -1 -1,-1 -2,-2 -1,3.50,
2 3Lz  6.00 -1.00,-1 -2 -1 0 -2,-3 -2,-1 -1,5.00,
3 FCSp4  3.20  0.43,1 1 1 1 0,0 1,1 1,3.63,
4 LSp3  2.40  0.29,1 0 0 0 1,1 0,1 1,2.69,
5 2A  3.63 x  0.50,0 1 1 1 1,1 1,1 1,4.13,
6 StSq3  3.30  0.57,2 1 1 1 1,1 1,1 2,3.87,
7 CCoSp3  3.00  0.29,1 1 0 1 1,0 0,0 1,3.29,
25.83,,,,26.11,
Program Components Factor,,,,,
Skating Skills  0.80,7.00  6.50  6.50  6.75  6.75,6.50  7.00,7.25  7.25,6.82,
Transitions  0.80,6.75  6.50  6.00  6.50  6.25,6.50  7.25,6.75  7.00,6.61,
Performance  0.80,7.00  6.25  6.75  6.75  6.50,6.75  7.25,7.00  7.25,6.86,
Composition  0.80,7.25  7.00  6.50  6.50  6.50,6.50  7.50,7.00  7.50,6.89,
Interpretation of the Music  0.80,7.00  7.00  6.50  6.50  6.75,7.00  7.25,7.25  7.50,6.96,
Judges Total Program Component Score (factored),,,,27.32,
Deductions,,,,0.00,
"<  Under-rotated jumpx  Credit for highlight distribution, base value multiplied by 1.1",,,,,
ISU GP NHK Trophy 2016,,,,,
LADIES SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,
"",Starting Total,Total,Total,Total,
Rank Name Nation,Number Segment,Element,Program  Component,Deductions,
"",Score,Score,Score (factored),,
11 Dabin CHOI KOR,7  51.06,25.54,25.52,0.00,
Executed Base,,,,Scores of,
"# GOE J1 J2",J3 J4 J5,J6 J7,J8 J9 Ref,,Info
Elements Value,,,,Panel,
1 3Lz<+3T<< <<  5.50 -2.10 -3 -3,-3 -3 -3,-3 -3,-3 -2,3.40,
2 FCSp3  2.80  0.00 0 0,0 0 0,0 -1,0 1,2.80,
3 CCoSp3  3.00  0.00 0 0,0 0 0,0 0,-1 0,3.00,
4 3F  5.83 x -0.20 0 0,0 0 -2,-1 0,0 -1,5.63,
5 2A  3.63 x  0.29 1 1,0 1 1,0 0,0 1,3.92,
6 StSq3  3.30  0.29 1 0,0 1 0,1 1,0 1,3.59,
7 LSp4  2.70  0.50 1 1,1 1 1,1 1,1 2,3.20,
26.76,,,,25.54,
Program Components Factor,,,,,
Skating Skills  0.80  6.50  5.75,5.75  6.50  6.75,6.50  6.75,6.75  7.75,6.50,
Transitions  0.80  6.00  6.00,6.25  6.00  6.50,6.25  6.75,6.25  7.00,6.29,
Performance  0.80  6.25  6.00,5.75  6.25  6.75,6.00  6.75,6.50  7.25,6.36,
Composition  0.80  6.00  5.75,6.00  6.25  6.50,6.25  7.00,6.75  7.50,6.39,
Interpretation of the Music  0.80  6.25  6.00,5.75  6.00  6.25,6.50  6.75,6.75  7.25,6.36,
Judges Total Program Component Score (factored),,,,25.52,
Deductions,,,,0.00,
"<  Under-rotated jump<<  Downgraded jumpx  Credit for highlight distribution, base value multiplied by 1.1",,,,,
printed: 25.11.2016 17:36:29,,,,,
