ISU GP NHK Trophy 2016,,,,,,
MEN SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,
"",Starting Total,,Total,Total,Total,
Rank Name,Nation Number Segment,,Element,Program  Component,Deductions,
7 CCoSp3  3.00  0.21,1 0 0 1 0,,1 0,0 1,3.21,
41.50,,,,,40.04,
Program Components Factor,,,,,,
Skating Skills  1.00,7.75  7.00  7.25  7.00  7.25,,7.25  7.50,7.00  7.25,7.21,
Transitions  1.00,7.25  7.25  6.75  6.75  6.75,,7.00  7.50,7.25  7.25,7.07,
Performance  1.00,7.25  7.50  7.50  7.00  7.00,,7.25  7.50,7.25  7.25,7.29,
Composition  1.00,7.50  7.50  7.25  7.00  6.75,,7.25  7.25,7.25  7.50,7.29,
Interpretation of the Music  1.00,7.75  7.25  7.50  7.00  7.00,,7.75  7.50,7.50  7.50,7.43,
Judges Total Program Component Score (factored),,,,,36.29,
Deductions Falls: -1.00(1),,,,,-1.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,,,
ISU GP NHK Trophy 2016,,,,,,
MEN SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,
"",Starting Total,,Total,Total,Total,
Rank Name,Nation Number Segment,,Element,Program  Component,Deductions,
"",Score,,Score,Score (factored),,
7 Alexei BYCHENKO,ISR  6  75.13,,35.81,39.32,0.00,
Executed Base,,,,,Scores of,
"# GOE",J1 J2 J3 J4 J5,,J6 J7,InfoJ8 J9 Ref,,Info
Elements Value,,,,,Panel,
1 3A  8.50  1.86,2 2 2 2 2,,2 2,0 1,10.36,
2 4T  10.30 -3.31,-2 -2 -3 -2 -3,,-3 -2,-3 -3,6.99,
3 CCoSp2  2.50 -0.04,0 0 0 0 0,,-1 1,0 -1,2.46,
4 3F+2T  7.26 x  0.10,1 0 0 0 0,,0 0,1 0,7.36,
5 FCSp2  2.30  0.14,1 0 1 0 0,,0 0,1 0,2.44,
6 StSq2  2.60  0.79,2 1 2 1 1,,1 2,2 2,3.39,
7 CSSp3  2.60  0.21,1 1 0 1 0,,0 0,1 0,2.81,
36.06,,,,,35.81,
Program Components Factor,,,,,,
Skating Skills  1.00,8.50  8.25  8.00  7.25  7.50,,7.75  8.25,8.00  7.75,7.93,
Transitions  1.00,8.00  8.00  7.75  7.00  7.00,,7.50  8.50,7.00  7.50,7.54,
Performance  1.00,8.25  8.25  8.25  7.25  7.50,,7.75  9.00,7.75  7.75,7.93,
Composition  1.00,8.50  8.50  8.25  7.50  7.75,,7.50  8.50,7.50  7.75,7.96,
Interpretation of the Music  1.00,8.50  8.25  8.75  7.50  7.25,,7.50  9.25,7.50  7.75,7.96,
Judges Total Program Component Score (factored),,,,,39.32,
Deductions,,,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,,,
"",Starting Total,,Total,Total,Total,
Rank Name,Nation Number Segment,,Element,Program  Component,Deductions,
"",Score,,Score,Score (factored),,
8 Jason BROWN,USA  5  74.33,,31.80,42.53,0.00,
Executed Base,,,,,Scores of,
"# GOE",J1 J2 J3 J4 J5,,J6 J7,J8 J9 Ref,,
Elements Value,,,,,Panel,
1 4T<< <<  4.30 -2.10,-3 -3 -3 -3 -3,,-3 -3,-3 -3,2.20,
2 3A  8.50  0.00,-2 -1 0 2 -2,,1 1,-1 2,8.50,
3 FSSp4  3.00  0.64,2 1 1 2 1,,1 1,1 2,3.64,
4 CCSp3  2.80  1.07,2 2 2 2 3,,2 2,2 3,3.87,
5 3Lz+2T  8.03 x -1.40,-2 -2 -2 -2 -2,,-2 -1,-3 -2,6.63,
6 StSq3  3.30  1.29,2 1 2 3 3,,2 3,3 3,4.59,
7 CCoSp3V  2.50 -0.13,0 -1 0 1 -1,,-1 -1,0 0,2.37,
32.43,,,,,31.80,
Program Components Factor,,,,,,
Skating Skills  1.00,8.50  8.00  8.00  9.00  8.25,,8.75  8.50,8.00  8.50,8.36,
Transitions  1.00,8.25  7.50  8.00  9.25  8.75,,8.75  9.00,8.75  8.25,8.54,
