ISU GP 2016 Skate Canada International,,,,
LADIES SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,
Starting Total Total,,Total,Total,
Rank Name Nation Number Segment Element,,Program  Component,Deductions,
Interpretation of the Music  0.80  7.25  7.75  8.00  7.00  7.00  7.75  7.50,,7.25  8.00,7.50,
Judges Total Program Component Score (factored),,,29.34,
Deductions Falls: -1.00(1),,,-1.00,
"<  Under-rotated jumpx  Credit for highlight distribution, base value multiplied by 1.1!  Not clear edge",,,,
Starting Total Total,,Total,Total,
Rank Name Nation Number Segment Element,,Program  Component,Deductions,
Score Score,,Score (factored),,
10 Joshi HELGESSON SWE  10  49.72  23.40,,27.32,1.00,
Executed Base,,,Scores of,
"# GOE J1 J2 J3 J4 J5 J6 J7",,J8 J9 Ref,,
Elements Value,,,Panel,
1 3Lz< <  4.20 -2.10 -3 -3 -3 -3 -3 -3 -3,,-3 -3,2.10,
2 3T+2T<< <<  4.70 -1.80 -2 -3 -3 -2 -2 -3 -3,,-3 -2,2.90,
3 LSp4  2.70  0.43 1 1 0 1 1 1 0,,1 1,3.13,
4 2A  3.63 x  0.50 1 1 1 1 1 2 1,,0 1,4.13,
5 CCoSp4  3.50  0.21 1 1 0 1 0 1 0,,0 0,3.71,
6 StSq3  3.30  0.50 1 1 1 1 1 1 1,,1 1,3.80,
7 FCSp4  3.20  0.43 1 1 0 1 1 1 0,,1 1,3.63,
25.23,,,23.40,
Program Components Factor,,,,
Skating Skills  0.80  7.25  7.00  6.50  6.75  7.50  6.75  6.50,,6.50  7.25,6.86,
Transitions  0.80  7.00  6.50  6.50  6.50  7.50  6.50  6.00,,6.25  6.50,6.54,
Performance  0.80  7.00  6.75  6.75  6.50  7.75  6.75  6.25,,6.25  7.25,6.75,
Composition  0.80  7.25  6.75  6.75  6.75  7.75  7.00  6.50,,7.00  7.00,6.93,
Interpretation of the Music  0.80  7.50  7.00  7.00  6.50  7.75  7.25  6.50,,6.75  7.50,7.07,
Judges Total Program Component Score (factored),,,27.32,
Deductions Falls: -1.00(1),,,-1.00,
"<  Under-rotated jump<<  Downgraded jumpx  Credit for highlight distribution, base value multiplied by 1.1",,,,
ISU GP 2016 Skate Canada International,,,,
LADIES SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,
Starting Total,Total,Total,Total,
Rank Name Nation Number Segment,Element,Program  Component,Deductions,
Score,Score,Score (factored),,
11 Yuka NAGAI JPN  2  40.39,15.14,25.25,0.00,
Executed Base,,,Scores of,
"# GOE J1 J2 J3 J4 J5",J6 J7,J8 J9 Ref,,Info
Elements Value,,,Panel,
1 2S+2T* *  1.30 -0.60 -3 -3 -3 -3 -3,-3 -3,-3 -3,0.70,
2 3Lo  5.10 -0.10 -1 -2 0 0 1,0 0,0 0,5.00,
3 LSp4  2.70  0.21 1 1 0 1 0,1 0,0 0,2.91,
4 A* *  0.00 x  0.00 - - - - -,- -,- -,0.00,
5 CCoSp  0.00  0.00 - - - - -,- -,- -,0.00,
6 StSq3  3.30  0.36 1 1 0 0 1,1 0,1 1,3.66,
7 FCSp3  2.80  0.07 0 1 1 0 0,0 0,0 0,2.87,
15.20,,,15.14,
Program Components Factor,,,,
Skating Skills  0.80  6.75  6.75  6.75  6.75  6.50,7.25  6.25,6.25  6.00,6.57,
Transitions  0.80  6.50  6.50  6.00  5.75  6.25,7.00  5.75,5.50  6.25,6.14,
Performance  0.80  6.25  6.25  6.50  6.00  6.50,6.75  5.75,5.75  5.25,6.14,
Composition  0.80  7.00  6.50  6.75  6.00  6.75,6.75  6.00,6.50  5.75,6.46,
Interpretation of the Music  0.80  6.75  6.25  6.50  6.25  6.50,6.75  5.50,5.50  6.00,6.25,
Judges Total Program Component Score (factored),,,25.25,
Deductions,,,0.00,
"*  Invalid elementx  Credit for highlight distribution, base value multiplied by 1.1",,,,
printed: 28.10.2016 16:31:56,,,,
