ISU GP Hilton HHonors Skate America 2011,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
Rank Name Nation Number,,Segment Element,,Program  Component,Deductions,
"",,Score Score,,Score (factored),,
9 Daisuke MURAKAMI JPN  8,,122.65  57.35,,66.30,-1.00,
"# Executed Base GOE",,The Judges Panel,,,Ref Scores,
Elements Value,,(in random order),,,of Panel,
1 3Lz+2T e  7.30 -0.30 0 0 -1,,-1 -1 0 0,,-1 0,7.00,
2 3A  8.50  0.57 1 0 1,,0 0 2 1,,1 0,9.07,
3 4S< <  7.40 -3.00 -3 -3 -3,,-3 -3 -3 -3,,-3 -3,4.40,
4 CiSt2  2.60  0.64 1 1 1,,1 1 2 2,,2 1,3.24,
"",,Info,,,,Info
5 FCSp3  2.80  0.50 1 1 1,,1 1 1 1,,2 1,3.30,
6 3A<+SEQ <  5.28 x -2.29 -3 -3 -2,,-2 -2 -2 -3,,-1 -2,2.99,
7 3F  5.83 x  0.00 0 0 0,,-2 0 1 0,,0 0,5.83,
8 3F+SEQ  4.66 x -1.40 -2 -2 -2,,-2 -2 -2 -2,,-2 -2,3.26,
9 3Lo  5.61 x  0.10 0 0 0,,0 0 0 1,,0 1,5.71,
10 CSSp3  2.60  0.00 0 0 0,,0 0 0 0,,0 0,2.60,
11 3S  4.62 x -0.10 0 0 0,,-1 0 -1 0,,0 0,4.52,
12 ChSt1  2.00  0.50 1 0 0,,1 1 1 1,,1 0,2.50,
13 CCoSp2  2.50  0.43 0 1 1,,0 1 1 1,,1 1,2.93,
61.70,,,,,57.35,
Program Components Factor,,,,,,
Skating Skills  2.00 7.75 6.50 7.50,,7.00 7.50 7.00 6.50,,7.00 5.75,7.00,
Transition / Linking Footwork  2.00 7.00 6.25 6.75,,6.75 6.75 6.25 5.75,,6.50 5.25,6.43,
Performance / Execution  2.00 7.50 6.00 6.75,,6.50 7.00 6.75 6.50,,6.75 5.00,6.61,
Choreography / Composition  2.00 7.25 6.50 7.00,,6.75 7.00 6.50 5.75,,6.75 5.25,6.61,
Interpretation  2.00 7.25 6.50 7.25,,6.25 6.75 6.00 6.25,,6.50 5.25,6.50,
Judges Total Program Component Score (factored),,,,,66.30,
Deductions: Falls: -1.00,,,,,-1.00,
"<  Under-rotated jumpx  Credit for highlight distribution, base value multiplied by 1.1e  Jump take off with wrong edge",,,,,,
Starting,,Total Total,,Total,Total,
Rank Name Nation Number,,Segment Element,,Program  Component,Deductions,
"",,Score Score,,Score (factored),,
10 Armin MAHBANOOZADEH USA  4,,114.53  56.87,,59.66,-2.00,
"# Executed Base GOE",,The Judges Panel,,,Ref Scores,
Elements Value,,(in random order),,,of Panel,
1 4T< <  7.20 -3.00 -3 -3 -3,,-3 -3 -3 -3,,-3 -3,4.20,
2 3A+2T  9.80 -0.43 -1 0 0,,0 0 0 -1,,-1 -1,9.37,
3 1Lz  0.60 -0.06 -1 0 -2,,-1 -1 -1 0,,0 0,0.54,
4 3Lo  5.10  0.10 0 0 1,,1 0 0 0,,0 0,5.20,
5 CiSt3  3.30  0.14 0 0 0,,0 1 0 1,,0 1,3.44,
6 3A  9.35 x -3.00 -3 -3 -3,,-3 -3 -3 -3,,-3 -3,6.35,
7 CCoSp4  3.50  0.29 0 0 1,,2 1 1 0,,1 0,3.79,
8 3F  5.83 x -1.10 -2 -1 -2,,-2 -1 -1 -2,,-2 -1,4.73,
9 3S  4.62 x  0.20 0 0 0,,0 1 1 0,,0 1,4.82,
10 FSSp3  2.60  0.36 0 0 1,,1 0 1 1,,1 1,2.96,
11 3Lz  6.60 x -1.40 -2 -2 -2,,-3 -2 -2 -2,,-2 -1,5.20,
