ISU World Figure Skating Championships 2008,,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,Total Total,,Total,,Total,
NOC,,Segment Element,,Program  Component,,Deductions,
Rank Name,,,,,,,
Code,,Score Score,,Score (factored),,,
"",,= +,,+,,-,
1 Jeffrey BUTTLE CAN,,163.07  84.29,,78.78,,0.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
Skating Skills  2.00 7.50 7.25 7.75,7.25,7.25 8.25 8.00 7.75,7.50 7.25 7.50 7.50,,7.46,
Transition / Linking Footwork  2.00 7.25 6.50 7.25,7.00,6.00 7.75 7.50 7.50,7.25 7.00 7.00 7.00,,7.14,
Performance / Execution  2.00 7.50 7.25 7.50,7.25,6.50 8.00 7.50 7.50,7.50 7.00 7.25 7.25,,7.36,
Choreography / Composition  2.00 7.25 6.75 7.75,7.75,6.25 8.00 7.50 7.50,7.50 7.50 7.50 7.50,,7.50,
Interpretation  2.00 7.50 7.00 7.50,7.50,6.00 8.25 7.75 7.75,7.50 7.25 7.50 7.25,,7.46,
Judges Total Program Component Score (factored),,,,,73.84,
Deductions:,,,,,0.00,
"*  Invalid element e  Jump take off with wrong edge <  Downgraded jump",,"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,
"",,Total Total,Total,,Total,
NOC,,Segment Element,Program  Component,,Deductions,
Rank Name,,,,,,
Code,,Score Score,Score (factored),,,
"",,= +,+,,-,
6 Daisuke TAKAHASHI JPN,,139.71  64.15,76.56,,1.00,
"# Executed Base GOE",,The Judges Panel,,,Scores,
Elements Value,,(in random order),,,of Panel,
1 4T  9.00  1.43 1 1 0,2,3 1 2 2,1 2 2 1,,10.43,
2 4T<+SEQ  3.20 -3.00 -3 -3 -3,-3,-3 -3 -3 -2,-3 -3 -3 -3,,0.20,
3 3A  7.50  0.00 -1 0 0,0,1 0 0 0,0 1 0 0,,7.50,
4 CiSt3  3.10  0.86 1 2 2,2,2 0 2 2,1 2 2 2,,3.96,
5 CoSp4  3.00  0.50 2 1 1,1,2 0 2 1,1 1 1 1,,3.50,
6 3A+SEQ  6.60 x -2.43 -3 -3 -3,-2,-3 -2 -2 -2,-3 -2 -2 -3,,4.17,
7 3F+3T  10.45 x  0.29 0 0 0,1,1 -1 0 1,-1 2 0 1,,10.74,
8 3S  4.95 x  0.29 0 0 0,0,1 0 1 1,0 2 1 0,,5.24,
9 3Lo  5.50 x -0.71 -1 -1 -1,0,0 -1 -1 0,-1 0 -1 -1,,4.79,
10 3Lz*+2T* *  0.00  0.00 - - -,-,- - - -,- - - -,,0.00,
11 FCoSp4  3.00  0.29 1 0 0,1,0 0 0 0,0 1 1 1,,3.29,
12 FSSp3  2.30  0.07 0 0 0,1,0 0 0 0,0 1 0 0,,2.37,
13 SlSt3  3.10  0.93 1 2 1,2,2 1 2 2,2 2 2 2,,4.03,
14 CCoSp4  3.50  0.43 1 1 1,1,1 0 1 1,0 2 1 1,,3.93,
65.20,,,,,64.15,
Program Components Factor,,,,,,
Skating Skills  2.00 8.00 7.25 7.75,8.25,7.50 7.50 8.00 7.75,7.75 8.00 8.00 7.75,,7.82,
Transition / Linking Footwork  2.00 7.50 6.50 7.50,8.00,6.50 7.00 7.75 7.75,7.50 7.25 7.25 7.50,,7.39,
Performance / Execution  2.00 7.75 7.00 7.50,7.75,8.00 7.00 7.75 7.75,7.75 7.75 7.75 7.25,,7.57,
Choreography / Composition  2.00 7.75 7.50 7.50,8.00,7.50 7.25 8.00 8.00,7.50 8.00 7.75 7.75,,7.75,
Interpretation  2.00 8.00 6.75 7.75,8.00,7.25 7.25 8.00 8.00,7.75 8.00 7.75 7.50,,7.75,
Judges Total Program Component Score (factored),,,,,76.56,
Deductions: Falls: -1.00,,,,,-1.00,
"*  Invalid element e  Jump take off with wrong edge <  Downgraded jump",,"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,
ISU World Figure Skating Championships 2008,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
"",,Total Total,Total,,Total,
NOC,,Segment Element,Program  Component,,Deductions,
Rank Name,,,,,,
Code,,Score Score,Score (factored),,,
"",,= +,+,,-,
7 Stephane LAMBIEL SUI,,138.76  63.04,75.72,,0.00,
"# Executed Base GOE",,The Judges Panel,,,Scores,
Elements Value,,(in random order),,,of Panel,
1 3A  7.50 -2.00 -3 -2 -2,-2,-2 -2 -2 -2,-2 -1 -2 -2,,5.50,
2 4T+2T  10.30 -1.14 -1 -1 -1,-1,-2 -2 -1 Inf-o1,-2 -1 -1 -1,,9.16,Info
3 3Lo  5.00 -1.71 -2 -1 -2,-2,-1 -1 -2 -2,-2 0 -2 -2,,3.29,
4 CiSt3  3.10  0.43 0 1 1,1,2 0 2 0,1 1 2 2,,3.53,
5 2A  3.50  0.71 0 1 0,1,2 0 1 0,1 1 1 1,,4.21,
6 CoSp4  3.00  0.86 1 2 2,2,2 1 2 1,2 3 2 2,,3.86,
7 4T<  4.40 x -2.43 -3 -3 -2,-2,-2 -2 -2 -3,-2 -2 -2 -3,,1.97,
8 3Lz+2T+2T  9.46 x  0.14 0 0 0,0,1 0 0 0,0 1 1 0,,9.60,
9 3S  4.95 x  0.57 0 0 0,1,1 0 1 2,1 1 0 1,,5.52,
10 FSSp1  1.70  0.07 0 0 0,0,0 0 0 0,0 1 1 0,,1.77,
11 3F  6.05 x -2.14 -1 -2 -3,-2,-3 -2 -2 -3,-3 -2 -2 -2,,3.91,
12 SlSt2  2.30  0.71 1 1 1,2,2 1 2 2,1 1 2 2,,3.01,
13 CSSp4  3.00  0.50 1 0 1,1,0 1 0 1,1 1 1 1,,3.50,
14 CCoSp3  3.00  1.21 2 2 3,2,3 2 3 3,2 3 3 3,,4.21,
67.26,,,,,63.04,
Program Components Factor,,,,,,
Skating Skills  2.00 7.50 7.50 7.75,7.75,8.00 7.50 8.25 7.50,7.75 7.75 7.50 7.75,,7.61,
Transition / Linking Footwork  2.00 7.50 7.00 7.50,7.25,6.25 7.25 7.75 7.75,7.50 7.50 7.25 7.50,,7.39,
Performance / Execution  2.00 7.50 7.50 7.75,7.25,8.00 7.00 7.75 7.25,7.50 7.50 7.50 7.50,,7.43,
Choreography / Composition  2.00 7.50 7.25 7.75,7.75,7.75 7.25 8.25 7.75,8.00 7.75 7.50 8.00,,7.64,
Interpretation  2.00 7.75 7.75 8.00,7.50,8.00 7.75 8.25 7.75,8.00 8.00 7.75 7.75,,7.79,
Judges Total Program Component Score (factored),,,,,75.72,
Deductions:,,,,,0.00,
"*  Invalid element e  Jump take off with wrong edge <  Downgraded jump",,"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,
"",,Total Total,Total,,Total,
NOC,,Segment Element,Program  Component,,Deductions,
Rank Name,,,,,,
Code,,Score Score,Score (factored),,,
"",,= +,+,,-,
8 Takahiko KOZUKA JPN,,134.24  70.96,65.28,,2.00,
"# Executed Base GOE",,The Judges Panel,,,Scores,
Elements Value,,(in random order),,,of Panel,
1 3Lz+1T  6.40  0.00 0 0 0,-1,0 0 -1 0,0 0 0 0,,6.40,
2 3A+3T  11.50  0.71 1 0 1,0,2 0 0 1,1 1 1 1,,12.21,
3 3A  7.50  0.43 1 0 1,0,2 1 1 2,0 0 1 0,,7.93,
4 CiSt3  3.10  0.36 0 0 1,1,1 0 1 2,-1 1 2 1,,3.46,
5 FSSp4  3.00  0.43 1 1 1,2,1 0 1 0,0 2 1 1,,3.43,
6 FCCoSp4  3.50  0.50 0 1 1,1,2 1 1 2,1 1 1 1,,4.00,
7 3F+2T+2Lo e  9.13 x -1.00 0 -1 -1,-1,-1 -1 -1 -1,-2 -1 -1 -1,,8.13,
8 3Lo  5.50 x  1.00 1 1 1,1,1 1 1 2,1 1 1 1,,6.50,
9 3S  4.95 x -3.00 -3 -3 -3,-3,-3 -3 -3 -3,-3 -3 -2 -3,,1.95,
10 3Lz  6.60 x -3.00 -3 -3 -3,-3,-3 -3 -3 -3,-3 -3 -3 -3,,3.60,
11 FCSSp3  2.30  0.21 0 0 0,0,0 0 0 0,1 1 1 1,,2.51,
12 SlSt3  3.10  0.29 1 1 1,1,1 0 0 1,0 0 0 1,,3.39,
13 2A  3.85 x  0.03 0 0 0,-1,0 -1 0 0,1 0 1 0,,3.88,
14 CCoSp3  3.00  0.57 1 1 1,1,2 0 2 2,2 1 1 1,,3.57,
73.43,,,,,70.96,
Program Components Factor,,,,,,
Skating Skills  2.00 7.00 6.50 6.75,7.25,6.50 6.00 7.00 7.50,6.50 7.00 7.00 6.75,,6.86,
Transition / Linking Footwork  2.00 6.25 5.25 6.25,6.75,5.00 5.75 6.50 6.75,6.25 6.50 6.25 6.50,,6.32,
Performance / Execution  2.00 6.50 5.75 6.75,6.50,6.00 5.75 6.50 7.25,6.50 7.25 6.50 6.25,,6.46,
Choreography / Composition  2.00 6.00 5.25 6.00,6.50,5.75 6.25 6.75 7.00,6.50 7.00 6.75 6.75,,6.54,
Interpretation  2.00 6.25 5.00 6.50,6.25,5.75 6.00 6.50 7.00,6.50 7.00 6.75 6.50,,6.46,
Judges Total Program Component Score (factored),,,,,65.28,
Deductions: Falls: -2.00,,,,,-2.00,
"*  Invalid element e  Jump take off with wrong edge <  Downgraded jump",,"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,
ISU World Figure Skating Championships 2008,,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,Total Total,,Total,,Total,
NOC,,Segment Element,,Program  Component,,Deductions,
Rank Name,,,,,,,
Code,,Score Score,,Score (factored),,,
"",,= +,,+,,-,
9 Stephen CARRIERE USA,,133.49  66.77,,67.72,,1.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 3A+2T  8.80  0.57 1 1 1,1,1 0 0 1,0,0 1 0,,9.37,
2 3T+2T+2T  6.60  1.14 0 1 1,2,0 1 2 Info2,0,1 2 1,,7.74,Info
3 CCoSp4  3.50  0.36 1 0 1,1,1 1 0 0,0,1 2 1,,3.86,
4 3Lz  6.00  0.86 2 1 1,1,2 0 0 2,0,1 1 0,,6.86,
5 SlSt3  3.10  0.36 0 1 1,1,1 1 0 1,0,1 0 1,,3.46,
6 3F  6.05 x  1.00 1 1 1,1,2 1 1 2,-1,1 1 1,,7.05,
7 3A  8.25 x  0.29 0 0 0,0,1 0 1 1,1,0 1 0,,8.54,
8 CoSp4  3.00  0.21 0 0 1,0,1 1 0 0,0,1 1 1,,3.21,
9 3Lz+SEQ  5.28 x -3.00 -3 -3 -3,-3,-3 -3 -3 -3,-3,-3 -3 -3,,2.28,
10 3Lo  5.50 x -1.00 -1 -1 -1,-1,-2 -1 -2 -1,-1,-1 -1 -1,,4.50,
11 FSSp3  2.30  0.57 1 1 1,1,1 0 2 1,1,1 2 2,,2.87,
